Month,Category,Region,Sales,Profit
2024-01,Electronics,North,12658.4,3741.8
2024-01,Electronics,South,8051.08,1672.2
2024-01,Electronics,East,8705.55,1337.94
2024-01,Electronics,West,10222.89,2044.34
2024-01,Clothing,North,6029.09,1062.25
2024-01,Clothing,South,4382.27,496.02
2024-01,Clothing,East,4833.81,689.67
2024-01,Clothing,West,5003.74,952.84
2024-01,Groceries,North,8733.83,1275.67
2024-01,Groceries,South,6334.26,1328.28
2024-01,Groceries,East,7889.3,1844.54
2024-01,Groceries,West,7760.55,1502.06
2024-01,Furniture,North,4166.22,726.91
2024-01,Furniture,South,2772.1,541.89
2024-01,Furniture,East,3777.03,958.34
2024-01,Furniture,West,3705.24,603.21
2024-01,Toys,North,2419.4,461.06
2024-01,Toys,South,2180.25,371.94
2024-01,Toys,East,2099.21,402.67
2024-01,Toys,West,2854.16,696.03
2024-02,Electronics,North,13165.74,1791.73
2024-02,Electronics,South,9118.81,2263.5
2024-02,Electronics,East,8875.09,2013.54
2024-02,Electronics,West,9676.87,1979.71
2024-02,Clothing,North,6300.96,1290.87
2024-02,Clothing,South,4431.87,1060.24
2024-02,Clothing,East,5181.72,573.23
2024-02,Clothing,West,5768.26,933.13
2024-02,Groceries,North,8189.92,2399.6
2024-02,Groceries,South,7217.48,2085.92
2024-02,Groceries,East,7651.56,2052.88
2024-02,Groceries,West,9290.51,1172.67
2024-02,Furniture,North,4489.52,1115.06
2024-02,Furniture,South,2940.38,579.74
2024-02,Furniture,East,3736.76,616.14
2024-02,Furniture,West,3938.64,630.51
2024-02,Toys,North,3009.95,570.76
2024-02,Toys,South,2094.66,534.1
2024-02,Toys,East,2592.35,498.06
2024-02,Toys,West,3152.28,805.86
2024-03,Electronics,North,13195.79,3432.17
2024-03,Electronics,South,10207.7,2938.0
2024-03,Electronics,East,10546.73,2735.32
2024-03,Electronics,West,10107.15,2460.57
2024-03,Clothing,North,6640.84,756.06
2024-03,Clothing,South,4464.25,765.24
2024-03,Clothing,East,5227.58,1149.92
2024-03,Clothing,West,6502.86,1597.31
2024-03,Groceries,North,10064.03,1020.78
2024-03,Groceries,South,7621.99,1402.84
2024-03,Groceries,East,7601.03,1583.21
2024-03,Groceries,West,8797.9,1949.21
2024-03,Furniture,North,4688.47,1086.94
2024-03,Furniture,South,3478.81,440.05
2024-03,Furniture,East,4142.83,554.74
2024-03,Furniture,West,3908.56,1002.34
2024-03,Toys,North,3580.39,1056.32
2024-03,Toys,South,2440.44,377.91
2024-03,Toys,East,3046.01,819.59
2024-03,Toys,West,2837.84,379.29
2024-04,Electronics,North,13640.45,2863.71
2024-04,Electronics,South,9860.5,1310.89
2024-04,Electronics,East,10500.25,2513.12
2024-04,Electronics,West,11133.99,2064.36
2024-04,Clothing,North,6092.55,1328.6
2024-04,Clothing,South,4397.52,1267.07
2024-04,Clothing,East,5209.01,1324.59
2024-04,Clothing,West,6125.21,1673.65
2024-04,Groceries,North,10161.1,1064.69
2024-04,Groceries,South,7235.62,1116.59
2024-04,Groceries,East,7473.22,2108.51
2024-04,Groceries,West,8396.7,890.79
2024-04,Furniture,North,4520.14,778.17
2024-04,Furniture,South,3596.89,660.46
2024-04,Furniture,East,3958.32,819.37
2024-04,Furniture,West,3861.37,630.98
2024-04,Toys,North,2965.61,410.74
2024-04,Toys,South,2451.96,419.05
2024-04,Toys,East,2359.72,669.55
2024-04,Toys,West,2763.7,734.09
2024-05,Electronics,North,11338.48,1661.47
2024-05,Electronics,South,8121.27,1544.79
2024-05,Electronics,East,9671.2,2751.66
2024-05,Electronics,West,9101.26,1606.39
2024-05,Clothing,North,6302.31,1578.04
2024-05,Clothing,South,4943.19,555.28
2024-05,Clothing,East,4228.65,991.51
2024-05,Clothing,West,5635.49,1366.1
2024-05,Groceries,North,8047.64,2371.6
2024-05,Groceries,South,6735.31,1960.49
2024-05,Groceries,East,8323.09,898.28
2024-05,Groceries,West,7014.9,2088.52
2024-05,Furniture,North,4512.65,1138.17
2024-05,Furniture,South,3550.36,488.55
2024-05,Furniture,East,3312.16,726.06
2024-05,Furniture,West,3725.83,441.07
2024-05,Toys,North,2876.91,543.63
2024-05,Toys,South,2339.4,282.93
2024-05,Toys,East,2600.68,587.52
2024-05,Toys,West,2775.68,411.92
2024-06,Electronics,North,9786.53,2597.89
2024-06,Electronics,South,7867.3,1700.45
2024-06,Electronics,East,8559.07,1932.38
2024-06,Electronics,West,7944.62,1205.34
2024-06,Clothing,North,4982.85,1387.56
2024-06,Clothing,South,4163.4,1112.02
2024-06,Clothing,East,4332.75,702.33
2024-06,Clothing,West,4384.51,1099.68
2024-06,Groceries,North,6378.74,1780.14
2024-06,Groceries,South,6669.05,743.27
2024-06,Groceries,East,5387.81,576.79
2024-06,Groceries,West,7352.19,1843.22
2024-06,Furniture,North,4102.61,901.15
2024-06,Furniture,South,2895.67,484.76
2024-06,Furniture,East,2813.27,774.51
2024-06,Furniture,West,3122.0,516.56
2024-06,Toys,North,2605.08,431.95
2024-06,Toys,South,2031.76,227.37
2024-06,Toys,East,1927.14,307.58
2024-06,Toys,West,2272.89,636.22
2024-07,Electronics,North,9063.31,1150.79
2024-07,Electronics,South,6248.08,1826.18
2024-07,Electronics,East,6931.18,1983.64
2024-07,Electronics,West,8028.68,1378.08
2024-07,Clothing,North,4427.87,524.77
2024-07,Clothing,South,3730.06,452.13
2024-07,Clothing,East,3574.12,395.12
2024-07,Clothing,West,3929.05,429.85
